state,target,point
382,16.0,[255 246]
383,16.0,[255 246]
384,16.0,[255 246]
385,16.0,[255 246]
386,16.0,[255 246]
387,16.0,[255 246]
388,16.0,[255 246]
389,16.0,[255 246]
390,16.0,[255 246]
391,16.0,[255 246]
392,16.0,[255 246]
393,16.0,[255 246]
394,16.0,[255 246]
395,16.0,[255 246]
396,16.0,[255 246]
397,16.0,[255 246]
398,16.0,[255 246]
399,16.0,[255 246]
400,16.0,[255 246]
401,16.0,[255 246]
402,16.0,[255 246]
403,16.0,[255 246]
404,16.0,[255 246]
405,16.0,[255 246]
406,16.0,[255 246]
407,16.0,[255 246]
408,16.0,[255 246]
409,16.0,[255 246]
410,16.0,[255 246]
411,16.0,[255 246]
412,16.0,[255 246]
413,16.0,[255 246]
414,16.0,[255 246]
415,16.0,[255 246]
416,16.0,[255 246]
417,16.0,[255 246]
418,16.0,[255 246]
419,16.0,[255 246]
420,16.0,[255 246]
421,16.0,[255 246]
422,16.0,[255 246]
423,16.0,[255 246]
424,16.0,[255 246]
425,16.0,[255 246]
426,16.0,[255 246]
427,16.0,[255 246]
428,16.0,[255 246]
429,16.0,[255 246]
430,16.0,[255 246]
431,16.0,[255 246]
432,16.0,[255 246]
433,16.0,[255 246]
434,16.0,[255 246]
435,16.0,[255 246]
436,16.0,[255 246]
437,16.0,[255 246]
438,16.0,[255 246]
439,16.0,[255 246]
440,16.0,[255 246]
441,16.0,[255 246]
442,16.0,[255 246]
443,16.0,[255 246]
444,16.0,[255 246]
445,16.0,[255 246]
446,16.0,[255 246]
447,16.0,[255 246]
448,16.0,[255 246]
449,16.0,[255 246]
450,16.0,[255 246]
451,16.0,[255 246]
452,16.0,[255 246]
453,16.0,[255 246]
454,16.0,[255 246]
455,16.0,[255 246]
456,16.0,[255 246]
457,16.0,[255 246]
458,16.0,[255 246]
459,16.0,[255 246]
460,16.0,[255 246]
461,16.0,[255 246]
462,16.0,[255 246]
463,16.0,[255 246]
464,16.0,[255 246]
465,16.0,[255 246]
466,16.0,[255 246]
467,16.0,[255 246]
468,16.0,[255 246]
469,16.0,[255 246]
470,16.0,[255 246]
471,16.0,[255 246]
472,16.0,[255 246]
473,16.0,[255 246]
474,16.0,[255 246]
475,16.0,[255 246]
476,16.0,[255 246]
477,16.0,[255 246]
478,16.0,[255 246]
479,16.0,[255 246]
480,16.0,[255 246]
481,16.0,[255 246]
482,16.0,[255 246]
483,16.0,[255 246]
484,16.0,[255 246]
485,16.0,[255 246]
486,16.0,[255 246]
487,16.0,[255 246]
488,16.0,[255 246]
489,16.0,[255 246]
490,16.0,[255 246]
491,16.0,[255 246]
492,16.0,[255 246]
493,16.0,[255 246]
494,16.0,[255 246]
495,16.0,[255 246]
496,16.0,[255 246]
497,16.0,[255 246]
498,16.0,[255 246]
499,16.0,[255 246]
500,16.0,[255 246]
501,16.0,[255 246]
