sigma,max_score,x_idx,y_idx,stds
23.212545090180363,16.373090550584504,774,406,13.065567475748272
23.332765531062126,16.330222570847443,774,407,13.045692463553916
23.452985971943892,16.287976659703,773,407,13.011597238732023
23.573206412825655,16.246338217881668,773,407,12.988387945510656
23.693426853707418,16.205231028537685,773,407,12.965439281627726
23.81364729458918,16.164757304205057,772,408,12.935729756918398
23.933867735470944,16.124836155489522,772,408,12.913287759735837
24.05408817635271,16.0854512185407,771,408,12.88102670169028
24.174308617234473,16.046633109560823,771,409,12.861945043870904
24.294529058116236,16.008337481804336,771,409,12.840258930641191
24.414749498998,15.970591223586371,770,409,12.809025830952244
24.534969939879762,15.933357517986218,770,410,12.790229211601043
24.655190380761525,15.896624110562309,769,410,12.759653313141865
