sigma,legs,seed,fix_mu,fitted,darts,mu_y
8.0,400,7,False,7.844159987259701,2457,101.85344668618097
8.0,400,7,True,7.9263460433765145,2457,103.0
8.0,400,8,False,7.887267726940056,2487,101.0714033983648
8.0,400,8,True,8.054282166287468,2487,103.0
8.0,400,9,False,7.873588665270409,2448,102.02810704441522
8.0,400,9,True,7.939480730578681,2448,103.0
8.0,400,10,False,7.804534767095203,2415,104.7469577800484
8.0,400,10,True,7.776996798387572,2415,103.0
8.0,400,11,False,7.392209746626532,2379,100.6622406449915
8.0,400,11,True,7.613577013679166,2379,103.0
11.0,25,0,False,11.632777783728846,195,101.78223164686898
11.0,25,0,True,11.775333216382052,195,103.0
11.0,25,1,False,11.239236922819462,192,108.54560651922273
11.0,25,1,True,11.062706466875348,192,103.0
11.0,25,2,False,10.146800409847392,195,96.38687916924326
11.0,25,2,True,11.11482511339392,195,103.0
11.0,25,3,False,10.55687961508037,198,105.06608828415148
11.0,25,3,True,10.693612696568039,198,103.0
11.0,25,4,False,11.179323841422288,204,110.18277565008768
11.0,25,4,True,10.937160152786033,204,103.0
11.0,25,5,False,10.934824778913276,213,102.01578142036925
11.0,25,5,True,11.052158716101674,213,103.0
11.0,25,6,False,10.914607220287545,195,107.88976599032375
11.0,25,6,True,10.759348258101841,195,103.0
11.0,25,7,False,10.716764336586614,204,109.7954191538541
11.0,25,7,True,10.553096223534425,204,103.0
11.0,25,8,False,10.58139224039945,201,103.95412915004553
11.0,25,8,True,10.516665283895717,201,103.0
11.0,25,9,False,10.988696297656947,192,108.91548365334504
11.0,25,9,True,10.816942919544097,192,103.0
11.0,25,10,False,11.06459531182896,207,101.24190103262303
11.0,25,10,True,11.249750309524153,207,103.0
11.0,25,11,False,10.382444767620793,186,98.74121884780686
11.0,25,11,True,10.94952152304472,186,103.0
11.0,50,0,False,11.449815025383938,393,100.92207800410318
11.0,50,0,True,11.66043786345147,393,103.0
11.0,50,1,False,11.375216247606298,411,101.73977288882992
11.0,50,1,True,11.533303889627641,411,103.0
11.0,50,2,False,9.566839025439203,384,98.74714828113872
11.0,50,2,True,10.06085318230449,384,103.0
11.0,50,3,False,10.833918977273767,387,102.42356340429365
11.0,50,3,True,10.90067673696148,387,103.0
11.0,50,4,False,11.055446490943151,405,106.94312020067001
11.0,50,4,True,10.869984952135056,405,103.0
11.0,50,5,False,11.39665115312185,414,102.29839190591902
11.0,50,5,True,11.46758303066386,414,103.0
11.0,50,6,False,11.171411830829006,384,107.02305638784753
11.0,50,6,True,10.979512015723024,384,103.0
11.0,50,7,False,10.88975697950377,414,100.87552228373077
11.0,50,7,True,11.198071057638298,414,103.0
11.0,50,8,False,10.251120181279948,378,102.09416255295457
11.0,50,8,True,10.335008467735879,378,103.0
11.0,50,9,False,10.387379509815757,414,95.4528037781629
11.0,50,9,True,11.529384064840867,414,103.0
11.0,50,10,False,10.519160548633089,384,99.86203644681532
11.0,50,10,True,10.913092729553924,384,103.0
11.0,50,11,False,11.286402876269857,408,102.28718444892259
11.0,50,11,True,11.352489136120623,408,103.0
11.0,100,0,False,11.018805890758637,816,100.97592243847141
11.0,100,0,True,11.22021410936147,816,103.0
11.0,100,1,False,11.335169295165688,831,107.36925582244768
11.0,100,1,True,11.118623526534497,831,103.0
11.0,100,2,False,10.256863039595054,786,98.31426166845324
11.0,100,2,True,10.828883062571968,786,103.0
11.0,100,3,False,10.564754582841918,795,97.95899352167531
11.0,100,3,True,11.221998089477527,795,103.0
11.0,100,4,False,10.616879106041011,759,100.00572225955031
11.0,100,4,True,10.940023364370893,759,103.0
11.0,100,5,False,11.444638548017041,828,107.00024625557754
11.0,100,5,True,11.229393295535623,828,103.0
11.0,100,6,False,10.806976673695292,798,107.83131916996626
11.0,100,6,True,10.654721792664356,798,103.0
11.0,100,7,False,10.700184871675026,783,105.38621075561971
11.0,100,7,True,10.57676919523428,783,103.0
11.0,100,8,False,11.099816218636391,801,105.00791669453488
11.0,100,8,True,10.97887552782258,801,103.0
11.0,100,9,False,10.881051786642585,795,102.46706162431249
11.0,100,9,True,10.94602124240125,795,103.0
11.0,100,10,False,11.092358642280404,819,103.51605811647609
11.0,100,10,True,11.063794836822089,819,103.0
11.0,100,11,False,10.869943673846704,798,102.32954198171385
11.0,100,11,True,10.942685478190526,798,103.0
11.0,200,0,False,10.934185604889297,1605,100.57775506820724
11.0,200,0,True,11.201622420467277,1605,103.0
11.0,200,1,False,10.265114997446723,1623,98.0477224338039
11.0,200,1,True,10.874931853757543,1623,103.0
11.0,200,2,False,10.897885631176452,1602,99.26029699053404
11.0,200,2,True,11.339284390453248,1602,103.0
11.0,200,3,False,10.67423010381195,1560,99.93867529137844
11.0,200,3,True,11.002372858748624,1560,103.0
11.0,200,4,False,10.59549079782206,1545,104.17909977882272
11.0,200,4,True,10.514134517139347,1545,103.0
11.0,200,5,False,11.15280566507162,1587,103.57824185771165
11.0,200,5,True,11.110383885941928,1587,103.0
11.0,200,6,False,10.313554557972411,1575,98.33596284034338
11.0,200,6,True,10.893775499365228,1575,103.0
11.0,200,7,False,11.273698966919543,1608,104.83701528570114
11.0,200,7,True,11.15110451611608,1608,103.0
11.0,200,8,False,10.371334726749412,1575,97.99093393394054
11.0,200,8,True,10.996691825850931,1575,103.0
11.0,200,9,False,10.43204213147776,1590,97.43283674848018
11.0,200,9,True,11.170760306389136,1590,103.0
11.0,200,10,False,11.049556569732692,1608,105.33873407098147
11.0,200,10,True,10.902754664273408,1608,103.0
11.0,200,11,False,11.335810293496483,1611,104.3614931819345
11.0,200,11,True,11.235687986779523,1611,103.0
11.0,400,0,False,11.064567613898769,3162,103.57594454331888
11.0,400,0,True,11.021834251481115,3162,103.0
11.0,400,1,False,10.904728023036052,3177,101.14912953293498
11.0,400,1,True,11.09124349638535,3177,103.0
11.0,400,2,False,10.603949345740055,3075,101.36064104436743
11.0,400,2,True,10.757033097693904,3075,103.0
11.0,400,3,False,10.536349735542958,3171,98.56462309546743
11.0,400,3,True,11.067789683325401,3171,103.0
11.0,400,4,False,10.895033712385825,3165,101.63190293512689
11.0,400,4,True,11.022754004808618,3165,103.0
11.0,400,5,False,11.196077992863058,3198,102.41623722222363
11.0,400,5,True,11.254524040152111,3198,103.0
11.0,400,6,False,10.946968492311342,3186,101.61745248976013
11.0,400,6,True,11.079666094818815,3186,103.0
11.0,400,7,False,10.719272694984094,3123,103.15054983531601
11.0,400,7,True,10.707532650080958,3123,103.0
11.0,400,8,False,11.192706431649265,3231,104.71835623703814
11.0,400,8,True,11.071085788215095,3231,103.0
11.0,400,9,False,10.800072005600967,3186,99.43242583241222
11.0,400,9,True,11.201474834490366,3186,103.0
11.0,400,10,False,10.629004483096091,3183,100.34302084724138
11.0,400,10,True,10.910504898744998,3183,103.0
11.0,400,11,False,10.368339021400024,3120,99.15705682750706
11.0,400,11,True,10.804228237250484,3120,103.0
