state,value
313,-25.97647540848684
314,-26.033414026965055
315,-26.092499211308123
316,-26.149778313940036
317,-26.20882973045184
318,-26.266257206570753
319,-26.324534672792375
320,-26.382978407130256
321,-26.440019494685806
322,-26.49938308359973
323,-26.556276528705485
324,-26.6147695760676
325,-26.67286495310246
326,-26.730673744015707
327,-26.7890908213025
328,-26.846386936218018
329,-26.90584181102086
330,-26.96254553173992
331,-27.020977975615807
332,-27.079459362050052
333,-27.13663273509974
334,-27.19548041587518
335,-27.252905240120736
336,-27.311791742181008
337,-27.36925620948652
338,-27.427513433414706
339,-27.48593148852806
340,-27.543125709331687
341,-27.6022127320502
342,-27.659391011120086
343,-27.717831997781726
344,-27.775869237173797
345,-27.833747134786755
346,-27.892125445696966
347,-27.949529406495124
348,-28.00868122740882
349,-28.06569632138165
350,-28.12405611472375
351,-28.182441995259893
352,-28.239807795314103
353,-28.29847995327411
354,-28.356016618157767
355,-28.41475901969483
356,-28.472286624496142
357,-28.530518337589108
358,-28.588897173513114
359,-28.64623011475522
360,-28.705100574285176
361,-28.762488381757958
362,-28.820875973405972
363,-28.878875713224325
364,-28.936807977328343
365,-28.995149036344543
366,-29.052646075395952
367,-29.111564797906226
368,-29.16882122925201
369,-29.227120910599886
370,-29.285427616501902
371,-29.342948921678747
372,-29.401489340517433
373,-29.459113539807635
374,-29.51773373210001
375,-29.575333743794715
376,-29.63353843041441
377,-29.691873180799288
378,-29.74932943244949
379,-29.808029976114835
380,-29.865572325949792
381,-29.923909771864437
382,-29.981888511721177
383,-30.039861210296273
384,-30.09816631849428
385,-30.155745052904162
386,-30.214483285861167
387,-30.271925370373555
388,-30.33017575210206
389,-30.388418915603335
390,-30.446064025363974
391,-30.50450392757437
392,-30.562198194053366
393,-30.620716637034107
394,-30.67838844132715
395,-30.736567030040582
396,-30.794858140129403
397,-30.85242189550666
398,-30.910988733023096
399,-30.968645696473015
400,-31.026938399222107
401,-31.08490818889715
402,-31.14290962585093
403,-31.201180698283572
404,-31.258831481054564
405,-31.31742898246896
406,-31.37501313372362
407,-31.433223532224066
408,-31.491416988486346
409,-31.549159317092915
410,-31.60752141035858
411,-31.66527293755279
412,-31.723707546557776
413,-31.781445315450142
414,-31.839600174892492
415,-31.8978510421028
416,-31.955506806311167
417,-32.013968111384926
418,-32.07171077907051
419,-32.1299648143486
420,-32.18793378325975
421,-32.245954824947404
422,-32.304194467478105
423,-32.36190864702608
424,-32.42039563731193
425,-32.478088151081856
426,-32.5362665123011
427,-32.59442185445671
428,-32.65223960604692
429,-32.71054075478328
430,-32.7683398982683
431,-32.82670574663678
432,-32.884501388596526
433,-32.94263560664072
434,-33.00085096346361
435,-33.05858419178312
436,-33.116962001869624
437,-33.17476941447231
438,-33.23299066793541
439,-33.2909638852302
440,-33.348997771543495
441,-33.407209052757935
442,-33.46497865486139
443,-33.523378334208815
444,-33.58115337225679
445,-33.6393063340288
446,-33.69743294227348
447,-33.755308587542835
448,-33.81356155137746
449,-33.87140081131569
450,-33.929710336488924
451,-33.987555209668216
452,-34.045672083967396
453,-34.103857028665594
454,-34.16165453710751
455,-34.219966166091645
456,-34.27782307016222
457,-34.33601682866832
458,-34.39399712057681
459,-34.45203907748197
460,-34.510225273709956
461,-34.56804289789366
462,-34.62637325330748
463,-34.68421114300625
464,-34.74234413188101
