source,player,model,n,t20_lift_12,t20_lift_23,t20_lift_13,treble_lift_12,dir_corr,mag_corr,switch_rate,p_t20,p_k0,p_k1,p_k2,p_k3
dartsviz_pdc_2017,Daryl Gurney,A gaussian iid,15000,-0.009143824272755952,1.6487035483059576,1.804367179577221,-0.009143824272755952,-0.00034762473408462007,-0.00801570599451043,0.0,0.2998,0.34746666666666665,0.43566666666666665,0.18686666666666665,0.03
dartsviz_pdc_2017,Daryl Gurney,B + aim rule,15000,4.586156980707695,11.15802082644385,3.9818640592806402,-0.9093234417276413,-0.003755482937271266,-0.004773033596880396,0.18803333333333333,0.1890888888888889,0.4590666666666667,0.4068,0.12233333333333334,0.0118
dartsviz_pdc_2017,Daryl Gurney,C + wide tail,15000,10.95234791781971,18.33825468628897,8.657357465238945,1.1830181861140654,-0.0006389518112350002,-0.008538829726770733,0.15303333333333333,0.3758,0.1898,0.40973333333333334,0.31826666666666664,0.0822
dartsviz_pdc_2017,Daryl Gurney,D + shared offset,15000,22.514000739310454,28.700444298929124,19.43945266060315,13.515206998270779,0.03351925147547336,0.05338058525711024,0.15373333333333333,0.38384444444444443,0.2378,0.34073333333333333,0.3,0.12146666666666667
dartsviz_pdc_2017,Daryl Gurney,E + shared scale,15000,15.157925018861985,22.206637142581823,13.049019448198745,5.546460328747949,0.0047498119524850045,0.019882315185860235,0.1517,0.38366666666666666,0.2012,0.38533333333333336,0.3122,0.10126666666666667
dartsviz_pdc_2017,Gary Anderson,OBSERVED,347,17.42874930824571,26.630889322553664,18.172385168788047,5.648173768677362,0.0035354545156142444,0.028558830636737618,0.19740634005763688,0.3621517771373679,0.19596541786743515,0.3861671469740634,0.2968299711815562,0.12103746397694524
dartsviz_pdc_2017,Gary Anderson,A gaussian iid,15000,-0.15814922685656874,1.4606225674509532,1.1939120587994234,-0.15814922685656874,0.0014811203024053083,-0.005038658075115364,0.0,0.2994222222222222,0.34713333333333335,0.4362666666666667,0.1878,0.0288
dartsviz_pdc_2017,Gary Anderson,B + aim rule,15000,4.262984376579157,12.565200147651268,4.27343948756016,-0.9153449663868163,-0.003362218683377459,-0.004167390116147144,0.2576333333333333,0.18795555555555554,0.432,0.41786666666666666,0.135,0.015133333333333334
dartsviz_pdc_2017,Gary Anderson,C + wide tail,15000,10.849906469664155,21.746225603089307,7.594902236095158,0.9257721195639501,-0.004544008564492348,-0.009851736024747638,0.22336666666666666,0.36504444444444445,0.17006666666666667,0.4024,0.333,0.09453333333333333
dartsviz_pdc_2017,Gary Anderson,D + shared offset,15000,21.121643026662053,29.531705163130944,16.90393374221243,12.56686828429492,0.010641831311652757,0.02692585281324539,0.22173333333333334,0.37022222222222223,0.2154,0.3393333333333333,0.3154,0.12986666666666666
dartsviz_pdc_2017,Gary Anderson,E + shared scale,15000,19.279247885846484,27.803942158515355,15.4621320438853,10.311922397859252,-0.002897255792488766,0.04937170974905001,0.21986666666666665,0.3705777777777778,0.2036,0.359,0.308,0.1294
dartsviz_pdc_2017,Phil Taylor,OBSERVED,329,0.7598319969453982,8.331424207712868,-6.743031691485301,2.6269568537609755,0.0882843254956836,0.04271129786040993,0.1595744680851064,0.3880445795339412,0.1519756838905775,0.43465045592705165,0.3282674772036474,0.0851063829787234
