source,player,model,n_train,n_test,n_params,train_ll,test_ll,test_ll_per_visit,bic,sigma,bias_x,tau,nu,eps,kappa,s_hit,s_miss,seconds,nfev
dartsviz_pdc_2017,Raymond van Barneveld,D + shared offset,442,424,7,-1914.2048688693462,-1786.9233027141304,-4.214441751684269,3871.0489069132364,6.09152947002337,-4.053146872488886,4.128955544058703,0.0,0.08628483723246408,20709371.596098494,0.006779877703869839,0.10698490292883853,67.21195769309998,1257
dartsviz_pdc_2017,Raymond van Barneveld,E + shared scale,442,424,7,-1915.9748082572364,-1785.0772516844793,-4.210087857746413,3874.5887856890167,7.4145006226309915,-3.884808277484132,0.0,0.14741008519938936,0.08476764783863544,46863006.931785695,0.006898066217471681,0.10627241502244954,109.80209350585938,1333
dartsviz_pdc_2017,Simon Whitlock,A gaussian iid,372,363,2,-112719.75789893922,-103101.66279866332,-284.02661928006427,225451.353585587,28.293994452051166,-1.2364802815931568,0.0,0.0,0.0,1.0,0.0,0.0,0.08570361137390137,80
dartsviz_pdc_2017,Simon Whitlock,B + aim rule,372,363,4,-4780.675282271892,-5418.876329594177,-14.928033965824179,9585.026139960875,26.28633825793501,-0.9183685201343844,0.0,0.0,0.0,1.0,0.03929883760741549,0.373807406724234,0.2810783386230469,247
dartsviz_pdc_2017,Simon Whitlock,C + wide tail,372,363,6,-1998.1154638053208,-1987.975005078838,-5.476515165506441,4031.7442907362806,8.039166045956216,-1.6488100171177136,0.0,0.0,0.16646832791839547,15325847.987415932,0.04971700826440034,0.3577047247116723,10.922801733016968,880
dartsviz_pdc_2017,Simon Whitlock,D + shared offset,372,363,7,-1989.3367344640128,-1983.1575312105256,-5.463243887632302,4020.1057259079375,5.091630483001908,-1.7623760952836895,6.168419700815726,0.0,0.1703532041304657,23882687.340276584,0.04952274236771152,0.35800500231347565,70.0611834526062,1316
dartsviz_pdc_2017,Simon Whitlock,E + shared scale,372,363,7,-1897.6383656309263,-1886.5576977508636,-5.197128643941773,3836.7089882417645,16.691231855634193,-1.3200195756691542,0.0,1.0411569750559473,0.031289854471860945,46.10506287393962,0.05088231041589965,0.37253566002762445,108.20911431312561,1206
dartsviz_pdc_2017,Gary Anderson,A gaussian iid,344,353,2,-87228.22792711583,-90580.6068417302,-256.6022856706238,174468.1371375464,9.720092164035735,-0.9521812156491534,0.0,0.0,0.0,1.0,0.0,0.0,0.2067253589630127,202
dartsviz_pdc_2017,Gary Anderson,B + aim rule,344,353,4,-2460.2260872195484,-2430.506742847114,-6.885288223362929,4943.814741068591,11.030611763197024,1.236576797772547,0.0,0.0,0.0,1.0,0.08128633352033707,0.3023886199627462,0.1475512981414795,143
dartsviz_pdc_2017,Gary Anderson,C + wide tail,344,353,6,-1511.8376412141706,-1519.75822601751,-4.305264096366884,3058.7191323725815,5.734702988773227,4.183683047630883,0.0,0.0,0.11032817271598698,5.6358271824127515,0.08144690419085103,0.30591564248138214,5.081242799758911,445
dartsviz_pdc_2017,Gary Anderson,D + shared offset,344,353,7,-1505.112475133639,-1519.5907046766633,-4.304789531661936,3051.1094418688917,4.182679852316313,-0.16790450759779357,4.959323969565765,0.0,0.09814064004684986,8.103795227120571,0.08145659022828909,0.3058719865800846,23.40578556060791,464
dartsviz_pdc_2017,Gary Anderson,E + shared scale,344,353,7,-1497.2393783506195,-1504.2580294960758,-4.261354191207014,3035.3632483028528,6.638912938091649,0.17433621223370052,0.0,0.40325269546477155,0.08726921317806292,5.024496321652417,0.08142165571904861,0.3016751836205396,27.27900505065918,332
dartsviz_pdc_2017,Phil Taylor,A gaussian iid,338,329,2,-75343.79210322059,-67127.53291013958,-204.0350544381142,150699.23029823214,8.012263520832906,-3.2430624179546808,0.0,0.0,0.0,1.0,0.0,0.0,0.22720861434936523,216
dartsviz_pdc_2017,Phil Taylor,B + aim rule,338,329,4,-1383.1311109491035,-1370.6459288101441,-4.16609704805515,2789.554405480139,7.86125340472625,-4.348205993598179,0.0,0.0,0.0,1.0,0.1276046696671613,0.19910703934864693,25.228017330169678,23438
dartsviz_pdc_2017,Phil Taylor,C + wide tail,338,329,6,-1325.2431202184116,-1261.4028051403834,-3.8340510794540528,2685.4245158097215,6.422315162233998,-6.065539250397045,0.0,0.0,0.0398771225642401,4.001758692708901,0.14286010615003525,0.20263288436427992,2.8277018070220947,258
dartsviz_pdc_2017,Phil Taylor,D + shared offset,338,329,7,-1324.30605402572,-1260.3199465807093,-3.830759716050788,2689.373429319821,5.883061755290384,-6.0822238974553695,2.588536529620868,0.0,0.038893359303325575,4.390580654047912,0.14287579411273607,0.20264248417475003,20.46660804748535,395
dartsviz_pdc_2017,Phil Taylor,E + shared scale,338,329,7,-1322.9050661873298,-1260.946257276561,-3.8326633959773893,2686.5714536430405,6.892909448835707,-5.2961833829841485,0.0,0.24082795368711593,0.024942338089522276,3.87352683485161,0.14283809968633182,0.20265553339905426,33.6624219417572,408
dartsviz_pdc_2017,Dave Chisnall,A gaussian iid,328,326,2,-86006.98890758143,-61470.232155526886,-188.558994342107,172025.56384237963,12.781704550280711,-0.16910469241895498,0.0,0.0,0.0,1.0,0.0,0.0,0.06855440139770508,66
dartsviz_pdc_2017,Dave Chisnall,B + aim rule,328,326,4,-6008.703466033553,-4837.9721377114465,-14.84040533040321,12040.578986500643,13.795949312087389,-0.3586888930192613,0.0,0.0,0.0,1.0,0.030188820554052663,0.33240842203345294,0.18615150451660156,181
dartsviz_pdc_2017,Dave Chisnall,C + wide tail,328,326,6,-1574.565380543203,-1600.4185441384334,-4.909259337847955,3183.888842736711,5.822377277540831,-5.449187773529186,0.0,0.0,0.12493719262569923,8.070547305020733,0.03360147730233729,0.32627025860251496,5.147933483123779,451
dartsviz_pdc_2017,Dave Chisnall,D + shared offset,328,326,7,-1567.3769842354584,-1594.4502700600651,-4.890951748650506,3175.305063729606,3.8097625038660587,-5.292682599675899,4.407480519388252,0.0,0.1309358961379118,12.077566343036107,0.0336238719401458,0.3264095636944771,30.67219567298889,600
dartsviz_pdc_2017,Dave Chisnall,E + shared scale,328,326,7,-1531.9411909252033,-1561.8883643232339,-4.791068602218509,3104.4334771090957,8.335997257282964,-1.270576284785355,0.0,0.6397454598340109,0.07516499430027605,6.046613142063512,0.031056067219571486,0.3270171825372122,30.47732424736023,347
dartsviz_pdc_2017,Mensur Suljovic,A gaussian iid,326,319,2,-47777.18213251623,-50493.21408961738,-158.28593758500747,95565.9380597952,20.046273508300384,-2.03377346398611,0.0,0.0,0.0,1.0,0.0,0.0,0.08423542976379395,75
dartsviz_pdc_2017,Mensur Suljovic,B + aim rule,326,319,4,-5479.50352712572,-4765.065015391259,-14.937507885239057,10982.154643776907,19.761785636835825,-3.21300721169053,0.0,0.0,0.0,1.0,0.05163789372018544,0.1415468567549382,0.19048357009887695,193
dartsviz_pdc_2017,Mensur Suljovic,C + wide tail,326,319,6,-1401.8572876439725,-1413.2062710329635,-4.4301137022976915,2838.4359595761453,7.63124362603325,-3.0110472102542687,0.0,0.0,0.08542505065409559,15910669.507952714,0.039903668908099654,0.12093462758283102,10.786996126174927,914
dartsviz_pdc_2017,Mensur Suljovic,D + shared offset,326,319,7,-1401.7669444966818,-1412.5023340230246,-4.427907003206974,2844.042170662931,7.402983134321652,-3.0015533699758925,1.8603642317269866,0.0,0.08541461414171791,9677022.892720519,0.039884158949249786,0.12094590302343786,61.83698296546936,1190
dartsviz_pdc_2017,Mensur Suljovic,E + shared scale,326,319,7,-1400.8486235383807,-1408.1349087220453,-4.41421601480265,2842.2055287463286,7.565239316979209,-3.1235853294879776,0.0,0.1629746755630237,0.08510353285771266,19357236.375742346,0.039787376064918036,0.12092807465763228,107.22142338752747,1298
dartsviz_pdc_2017,Gerwyn Price,A gaussian iid,301,301,2,-70803.91362821263,-77762.26671023018,-258.34640103066505,141619.24147695475,13.467564334407962,0.15033182158360603,0.0,0.0,0.0,1.0,0.0,0.0,0.07340216636657715,67
dartsviz_pdc_2017,Gerwyn Price,B + aim rule,301,301,4,-3149.1752295425176,-3171.380560578759,-10.536148041789897,6321.178900144031,14.41553081293096,0.6661730391279725,0.0,0.0,0.0,1.0,0.04542035347844303,0.3130633501236559,0.2071528434753418,209
dartsviz_pdc_2017,Gerwyn Price,C + wide tail,301,301,6,-1471.7906377359475,-1471.015514532631,-4.887094732666548,2977.8239370603883,5.6593595129410295,-5.635347861963377,0.0,0.0,0.17689612277202582,6.39159354887951,0.04542191417131717,0.30358702984150904,3.769050121307373,334
dartsviz_pdc_2017,Gerwyn Price,D + shared offset,301,301,7,-1471.176351821051,-1469.8870735534424,-4.883345759313762,2982.302475495344,4.729555721348217,-5.449329265180607,3.185584522191254,0.0,0.17718579233167903,7.64231183460072,0.04541860107097047,0.3036809510551995,33.13615131378174,648
dartsviz_pdc_2017,Gerwyn Price,E + shared scale,301,301,7,-1458.756109651908,-1457.5093432446438,-4.84222373170978,2957.461991157058,6.634789508505536,0.474178955975884,0.0,0.42044613745152976,0.20512516518846222,4.6183561602240655,0.045453593673965065,0.2985940073142503,31.986189365386963,380
dartsviz_pdc_2017,James Wade,A gaussian iid,283,279,2,-61646.37554628863,-50553.85294322718,-181.19660553128023,123304.04198637255,13.775369563812559,1.4049565164720974,0.0,0.0,0.0,1.0,0.0,0.0,0.07097697257995605,64
dartsviz_pdc_2017,James Wade,B + aim rule,283,279,4,-2125.160109580119,-2681.2766588135414,-9.610310605066458,4272.902006750811,13.393418780786781,0.5995285181381992,0.0,0.0,0.0,1.0,0.07734726975536248,0.2505388196095723,0.16989946365356445,163
dartsviz_pdc_2017,James Wade,C + wide tail,283,279,6,-1189.5987315064017,-1121.2910383912458,-4.018964295309125,2413.0701443986627,7.881750483975816,-0.022263595075261374,0.0,0.0,0.06622359592671241,5.822997075015309,0.07128530459471336,0.2490646392736567,2.5069408416748047,217
dartsviz_pdc_2017,James Wade,D + shared offset,283,279,7,-1189.5987304107216,-1121.289945381151,-4.0189603777102185,2418.715589104946,7.881706539602645,-0.02194550752668277,1.6672135275713797e-05,0.0,0.06622309774379738,5.823749320730074,0.07127487720495965,0.2490637977295758,58.54701828956604,1270
dartsviz_pdc_2017,James Wade,E + shared scale,283,279,7,-1189.5919916620542,-1121.0903463076909,-4.01824496884477,2418.702111607611,7.879939094966632,-0.022954962816485944,0.0,0.04780289377363006,0.06634010701482095,5.801322543162421,0.07127244239440855,0.2490676509372851,34.58742904663086,436
dartsviz_pdc_2017,Michael Smith,A gaussian iid,272,283,2,-73364.58500174759,-75443.17623187244,-266.5836615967224,146740.38160762776,13.321877877320397,-1.2625434730441327,0.0,0.0,0.0,1.0,0.0,0.0,0.06302976608276367,64
dartsviz_pdc_2017,Michael Smith,B + aim rule,272,283,4,-1595.071895639753,-1629.4135987633617,-5.757645225312232,3212.5669995446897,14.913021791141947,0.49003904735114695,0.0,0.0,0.0,1.0,0.019397079520153765,0.4073063925380113,0.22397279739379883,224
dartsviz_pdc_2017,Michael Smith,C + wide tail,272,283,6,-1205.5850038244157,-1317.0280295532484,-4.653809291707591,2444.8048200466073,6.560455109063766,-3.1995029740191345,0.0,0.0,0.09511237750123906,7.507056738593438,0.019239413372051834,0.4012994904438654,2.746068239212036,237
dartsviz_pdc_2017,Michael Smith,D + shared offset,272,283,7,-1199.1829297993777,-1307.771685593158,-4.621101362519993,2437.606474062827,4.5258147438728304,-3.2420287155228027,4.947608802941312,0.0,0.08846168245724059,11.400902602620153,0.01912776635573752,0.4002294713894544,17.226328372955322,340
dartsviz_pdc_2017,Michael Smith,E + shared scale,272,283,7,-1194.9783559402958,-1310.6993142592196,-4.631446340138585,2429.1973263446635,8.201685612302931,-1.9608487487900372,0.0,0.583788268921275,0.060776556116533424,6.148931708763313,0.017553426772757272,0.4001847213152769,32.41666507720947,354
dartsviz_pdc_2017,Jelle Klaasen,A gaussian iid,266,267,2,-93864.67500469445,-103514.40686463894,-387.6944077327301,187740.51700200647,11.97074255428839,1.9030588398346708,0.0,0.0,0.0,1.0,0.0,0.0,0.06864070892333984,63
dartsviz_pdc_2017,Jelle Klaasen,B + aim rule,266,267,4,-2156.9233500171813,-2863.3780043911675,-10.724262188730965,4336.180685269489,13.258773638967474,-0.1845327734837075,0.0,0.0,0.0,1.0,0.05680231208855848,0.4617417978316815,0.17348051071166992,158
