design,k,n,band,sigma_true,sigma_hat,aim_error_mm
best 1,1,100,league,16.0,16.866601010873495,4.984957503099373
best 1,1,100,league,16.0,14.976942927540293,5.8307694940754
best 1,1,100,league,16.0,15.987309690084624,6.7721461799787726
best 1,1,100,league,16.0,17.315540011664527,1.5465049569056477
best 1,1,100,league,16.0,14.916709857016452,0.7829842816809256
best 1,1,100,league,16.0,10.016868808023897,21.349474070178083
best 1,1,100,league,16.0,17.772789699352654,3.8406708440076143
best 1,1,100,league,16.0,15.478056492424143,5.201885018333298
best 1,1,100,league,16.0,16.132248571767523,3.137517075442485
best 1,1,100,league,16.0,15.451626645033146,2.9883510533620643
best 1,1,100,league,16.0,14.202826086853827,5.3389369106766065
best 1,1,100,league,16.0,14.718456626087539,7.193845086957469
best 1,1,100,league,16.0,15.213642671126484,6.035815120197937
best 1,1,100,league,16.0,16.395769390641025,4.428333211614695
best 1,1,100,league,16.0,15.142600690217042,2.5048961787294513
best 1,1,100,league,16.0,17.098878567009642,5.918640395051444
best 1,1,100,league,16.0,16.382237420267597,6.401978320071331
best 1,1,100,league,16.0,14.282001564515257,4.213243785473971
best 1,1,100,league,16.0,15.405623276832028,2.154482959626772
best 1,1,100,league,16.0,17.53436140338084,2.3318284503405082
best 1,1,100,league,16.0,17.44558992251723,1.5676714987906248
best 1,1,100,league,16.0,17.35927271102349,2.544718391579517
best 1,1,100,league,16.0,15.56323324477099,5.3001195312754685
best 1,1,100,league,16.0,17.263535114932758,6.065775426737527
best 1,1,100,league,16.0,16.092184430785334,1.7662046276568482
best 1,1,100,league,16.0,13.921234601124853,2.277766739745732
best 1,1,100,league,16.0,17.484394331200043,5.852103459999795
best 1,1,100,league,16.0,17.09082982128287,3.9346846562199693
best 1,1,100,league,16.0,14.908942341938294,2.310411675201162
best 1,1,100,league,16.0,13.904588624286752,3.547062931670234
best 1,1,100,league,16.0,16.366833739878455,2.314994063194827
best 1,1,100,league,16.0,16.122085085803974,6.317041550581465
best 1,1,100,league,16.0,15.402638796598964,5.459674914322636
best 1,1,100,league,16.0,16.817146874681796,2.846209422197327
best 1,1,100,league,16.0,14.625954665053692,2.213552524609038
best 1,1,100,league,16.0,15.324230908175668,0.9869382577012399
best 1,1,100,league,16.0,16.97108236452066,7.281158031814413
best 1,1,100,league,16.0,15.79855622448702,1.4526659941070619
best 1,1,100,league,16.0,15.596031344748653,7.11715608222877
best 1,1,100,league,16.0,15.321741936143564,3.0591919651425075
best 1,1,100,league,16.0,15.082925466540901,8.98659769994359
best 1,1,100,league,16.0,15.647352522801516,2.4863553179085693
best 1,1,100,league,16.0,14.98871212522438,2.6813323695829303
best 1,1,100,league,16.0,15.69004508980227,2.21069341314315
best 1,1,100,league,16.0,15.905581510026666,3.021228850080595
best 1,1,100,league,16.0,16.24409129290551,3.7374762706593074
best 1,1,100,league,16.0,13.513995161118642,3.2964472233040207
best 1,1,100,league,16.0,18.64277491548722,3.141796965856372
best 1,1,100,league,16.0,17.190288456722655,3.6607297473524794
best 1,1,100,league,16.0,17.942499864358986,10.684864396484429
best 1,1,100,league,16.0,16.11970553941955,3.8455316638162533
best 1,1,100,league,16.0,16.57450122718956,3.8847533924169353
best 1,1,100,league,16.0,14.871097162223968,6.599092032859039
best 1,1,100,league,16.0,15.564949090002205,2.6497695924825675
best 1,1,100,league,16.0,9.913003050776625,18.842861274250087
best 1,1,100,league,16.0,18.696242620570573,6.144274802367423
best 1,1,100,league,16.0,14.992420032352998,3.449679024367087
best 1,1,100,league,16.0,15.022561044792017,4.599177142595508
best 1,1,100,league,16.0,17.208286918283342,3.106758375967535
best 1,1,100,league,16.0,16.729873883497717,1.4033656171572473
best 1,1,100,league,16.0,8.644781761227724,22.151529371247243
best 1,1,100,league,16.0,13.436951888902668,3.925187320579091
best 1,1,100,league,16.0,15.047093117937939,3.6634937212807253
best 1,1,100,league,16.0,15.509372588953074,1.2777779364375037
best 1,1,100,league,16.0,10.82630167647978,11.662572404198697
best 1,1,100,league,16.0,15.82994958221267,2.6508458121658176
best 1,1,100,league,16.0,16.872762603751774,0.8852590568733602
best 1,1,100,league,16.0,16.488021767033384,1.444766839495392
best 1,1,100,league,16.0,15.49088343663354,1.5634417542025594
best 1,1,100,league,16.0,15.866531088657204,0.6732384186180932
best 1,1,100,league,16.0,13.771605478954104,1.9779410689631651
best 1,1,100,league,16.0,16.850984526293875,5.137362561473164
best 1,1,100,league,16.0,15.970883569633228,3.984101014004973
best 1,1,100,league,16.0,15.743156225255973,2.4229137628229727
best 1,1,100,league,16.0,15.581880175473602,3.5608038495054144
best 1,1,100,league,16.0,15.391079476845968,8.277079749685802
best 1,1,100,league,16.0,16.7538508456984,1.1483320239109087
best 1,1,100,league,16.0,17.09279990859922,3.297622090027586
best 1,1,100,league,16.0,15.671630920850351,1.4427244400689105
best 1,1,100,league,16.0,16.21417580647721,1.9847935968487767
best 1,1,100,league,16.0,15.824835987324672,3.651304995140567
best 1,1,100,league,16.0,14.677261475412601,2.1543211722549223
best 1,1,100,league,16.0,18.69953544840946,2.945780704148556
best 1,1,100,league,16.0,15.253664994684504,2.8551922156579987
best 1,1,100,league,16.0,15.106715883051889,1.9035640700716658
best 2,2,100,league,16.0,16.952580978548383,4.099883040571701
best 2,2,100,league,16.0,14.96051086522826,3.5720734736387656
best 2,2,100,league,16.0,16.320695454394976,3.5146699033389925
best 2,2,100,league,16.0,15.815681279712136,3.265621609508676
best 2,2,100,league,16.0,14.924328661158258,3.955106152326988
best 2,2,100,league,16.0,16.231812442042656,3.3500459534145546
best 2,2,100,league,16.0,17.087127270370512,2.539872021076916
best 2,2,100,league,16.0,17.279723168801695,2.3167178984361674
best 2,2,100,league,16.0,16.708637143507808,2.631903099566857
best 2,2,100,league,16.0,14.983674479121115,0.593341488377577
best 2,2,100,league,16.0,17.392498411124652,2.2029184159980315
best 2,2,100,league,16.0,16.875288811825957,3.006864536107194
best 2,2,100,league,16.0,15.178603270620718,1.830422820007089
best 2,2,100,league,16.0,15.159048676567107,1.5903572260923333
best 2,2,100,league,16.0,15.521272624900313,4.49802781058253
best 2,2,100,league,16.0,14.180602124392808,5.252428954906337
best 2,2,100,league,16.0,14.539901762681236,3.87257381386665
best 2,2,100,league,16.0,13.62144399649706,2.6405944833609
best 2,2,100,league,16.0,15.26176047057833,3.205759444204498
best 2,2,100,league,16.0,16.66652304697768,1.6106100259068066
best 2,2,100,league,16.0,16.706976015407736,2.1541633527107247
best 2,2,100,league,16.0,12.974527206842666,5.9853658248579595
best 2,2,100,league,16.0,14.565326007016452,2.8721008360537765
best 2,2,100,league,16.0,14.692011908957502,3.792415758133601
best 2,2,100,league,16.0,15.689706656523704,4.509006607876754
best 2,2,100,league,16.0,17.918265097634798,4.227413165826833
best 2,2,100,league,16.0,17.30196004266625,2.875376842843294
best 2,2,100,league,16.0,15.761446363348197,0.8281632618483717
best 2,2,100,league,16.0,15.356197301916682,3.446120455041011
best 2,2,100,league,16.0,16.6255102249214,2.8980835819867177
best 2,2,100,league,16.0,17.350997586158122,4.209341071732399
best 2,2,100,league,16.0,16.43246407266823,3.8013482255954596
best 2,2,100,league,16.0,16.096799449598333,1.6171896229923615
best 2,2,100,league,16.0,15.561684920848274,3.5788671102001457
best 2,2,100,league,16.0,14.282009119980243,6.018314247958504
best 2,2,100,league,16.0,15.508819538510553,2.0516084617523616
best 2,2,100,league,16.0,14.052204294701419,3.3249784478151097
best 2,2,100,league,16.0,15.361194343697617,4.470379280262899
best 2,2,100,league,16.0,13.570809508090726,3.2832834714712615
best 2,2,100,league,16.0,16.764509122816733,1.7165682402368856
best 2,2,100,league,16.0,16.773771753296472,2.625757272689213
best 2,2,100,league,16.0,15.46160674378049,4.378153751507879
best 2,2,100,league,16.0,17.215082408212623,3.2549729695116327
best 2,2,100,league,16.0,16.127557952329937,4.7714357075169085
best 2,2,100,league,16.0,14.117641356608281,0.7916805553615197
best 2,2,100,league,16.0,18.208612163154093,2.9431714569657705
best 2,2,100,league,16.0,12.221396349730945,5.815794717425886
best 2,2,100,league,16.0,13.931514637217628,0.15923087157779162
best 2,2,100,league,16.0,12.891660035413926,6.2253773008792
best 2,2,100,league,16.0,15.531418818761612,0.9401348268502888
best 2,2,100,league,16.0,15.840316498060375,7.616149174624125
best 2,2,100,league,16.0,16.82532951845302,1.3258374853281663
best 2,2,100,league,16.0,13.502855937993836,7.55888585306761
best 2,2,100,league,16.0,17.354634771606946,2.242613891675022
best 2,2,100,league,16.0,14.612583626165465,3.5418869266964177
best 2,2,100,league,16.0,15.485736225136225,1.6180009586265558
best 2,2,100,league,16.0,14.439223871640847,2.513028359999903
best 2,2,100,league,16.0,15.302996249955148,3.5179569390517096
best 2,2,100,league,16.0,16.921436749215772,5.795635718951382
best 2,2,100,league,16.0,17.648420607927516,0.6887931312238085
best 2,2,100,league,16.0,15.480579944833252,2.4265048451718068
best 2,2,100,league,16.0,16.708483671660524,5.531470338175856
best 2,2,100,league,16.0,16.467548926153036,1.6207021559439476
best 2,2,100,league,16.0,15.558788470578884,1.6823102080316281
best 2,2,100,league,16.0,15.881049144866111,3.5917189657450876
best 2,2,100,league,16.0,15.126515608902253,4.364243950585823
best 2,2,100,league,16.0,15.996652304078808,3.4547212001384633
best 2,2,100,league,16.0,16.408403303820833,0.9556406437416748
best 2,2,100,league,16.0,14.667006665939631,1.7197850846877225
