state,value
122,-9.843535822583712
123,-9.909000727699231
124,-9.970284164710506
125,-10.0426150178537
126,-10.113014026483736
127,-10.17760387174623
128,-10.23855151957228
129,-10.313549387991989
130,-10.376306065745702
131,-10.44174522969304
132,-10.511854669140583
133,-10.571957024599062
134,-10.644934940788723
135,-10.710198265329769
136,-10.779008014851577
137,-10.845628251405063
138,-10.913606016148394
139,-10.982422016393425
140,-11.041503310577749
141,-11.11586549834219
142,-11.182084078377178
143,-11.245790105523419
144,-11.315904051311245
145,-11.384990523689035
146,-11.451115516059819
147,-11.513348214131817
148,-11.586398676261293
149,-11.650434602388744
150,-11.715657517196021
151,-11.785743917690503
152,-11.849189812183155
153,-11.919003202531885
154,-11.98425893307095
155,-12.053833818985721
156,-12.119489802493185
157,-12.18681253271123
158,-12.255833773105659
159,-12.317632863526832
160,-12.38926126040437
161,-12.455529856165699
162,-12.521105524396674
163,-12.589618737402523
164,-12.65782311853588
165,-12.724702932539133
166,-12.788255024291102
167,-12.85958075015545
168,-12.924611548723865
169,-12.99035644377868
170,-13.059584769480661
171,-13.124708986163345
172,-13.193214097039842
173,-13.258665927398335
174,-13.327906353688133
175,-13.393693916458309
176,-13.460660078139357
177,-13.529463571879106
178,-13.593108345167739
179,-13.662982188105321
180,-13.729342634468585
181,-13.795870892487534
182,-13.863538970851309
183,-13.93121491013722
184,-13.9985057394473
185,-14.063005758515786
186,-14.133053105416991
187,-14.198734296145522
188,-14.264924669991657
189,-14.333423936149915
190,-14.399444183318579
191,-14.467304493904905
192,-14.533078813367487
193,-14.601920674466786
194,-14.667924528719476
195,-14.734767224200436
196,-14.803204167437066
197,-14.86807934634761
198,-14.93683501109396
199,-15.003342697659718
200,-15.070364808948959
201,-15.137561689734676
202,-15.20493519648732
203,-15.272414881914992
204,-15.337621893763131
205,-15.406708770688482
206,-15.472859019869246
207,-15.539372545009003
208,-15.607345269714203
209,-15.673848149534852
210,-15.741398733145962
211,-15.807435679326328
212,-15.875903654667344
213,-15.94212900990567
214,-16.008958316268973
215,-16.077056966231336
216,-16.142730026252558
217,-16.210812505021355
218,-16.277426415101903
219,-16.344697011052073
220,-16.411655746060163
221,-16.478855202618604
222,-16.546375817287455
223,-16.612119634909
224,-16.680524663909985
225,-16.746989230782813
226,-16.81374880278944
227,-16.881338378690916
228,-16.948096147587755
229,-17.015503182527784
230,-17.081760561169894
231,-17.149878420760317
232,-17.216324231353813
233,-17.283188846718353
234,-17.350990679152712
235,-17.417178264339647
236,-17.484865013732943
237,-17.55155926174052
238,-17.618917865370005
239,-17.685789543471127
240,-17.75289578327973
241,-17.820378291648467
242,-17.88651709886106
243,-17.95445938352847
244,-18.021123725090295
245,-18.088048055048535
246,-18.15538653476397
247,-18.222279081604448
248,-18.289607797218146
249,-18.356051280538626
250,-18.423881379508266
251,-18.490506341343025
252,-18.55742124566217
253,-18.6249853875084
254,-18.691501458760673
255,-18.75895549919891
256,-18.825717547515325
257,-18.893079949970247
258,-18.959940993092275
259,-19.027002275566353
260,-19.094413476970338
261,-19.160837304175985
262,-19.228471690601
263,-19.295263620647887
264,-19.36228737599063
265,-19.429474482480373
266,-19.496439039234527
