source,player,family,shared_scale,model,n_train,n_test,n_params,train_ll,test_ll,test_ll_per_visit,scale,axis_sd,bias_x,nu_visit,s_hit,s_miss,at_boundary,seconds,nfev,sim_p_t20,obs_p_t20,sim_t20_lift_12,obs_t20_lift_12,sim_mag_corr,obs_mag_corr,sim_far,obs_far,shape_beta,shape_nu,shape_eps,shape_kappa,shape_ratio
dartsviz_pdc_2017,Gary Anderson,gaussian,True,gaussian + visit scale,348,347,5,-1566.6560659129548,-1509.6225642608497,-4.350497303345388,9.369452145743258,9.369452145743258,0.3762714218124704,0.6269025471179284,0.0836537174790435,0.3176242907364217,True,133.17849826812744,289,0.3425416666666667,0.3621517771373679,28.48289828660844,17.42874930824571,0.2198914108898818,0.0285588306367376,0.0011666666666666,0.004803073967339,,,,,
dartsviz_pdc_2017,Gary Anderson,student-t,True,student-t + visit scale,348,347,6,-1522.084272852548,-1470.0380257829347,-4.236420823581945,5.895874781275376,14.650372397825024,0.0754450907294632,0.3986184008610559,0.0835563585288952,0.312186290127402,False,201.7931628227234,420,0.3843333333333333,0.3621517771373679,18.010561222386084,17.42874930824571,0.0561735899997434,0.0285588306367376,0.0043333333333333,0.004803073967339,,2.386511803172024,,,
dartsviz_pdc_2017,Phil Taylor,gaussian,False,gaussian,338,329,4,-1390.204856298868,-1378.288051784651,-4.189325385363681,8.327782527191706,8.327782527191706,-2.192269409851068,0.0,0.1559491400556182,0.2221189707619981,True,522.0660088062286,23382,0.2815833333333333,0.3880445795339412,2.4272423249894204,0.7598319969453982,-0.0058152756894133,0.0427112978604099,0.0,0.0040526849037487,,,,,
dartsviz_pdc_2017,Phil Taylor,exp-power,False,exp-power,338,329,5,-1342.6770837144854,-1280.0873713239766,-3.89084307393306,3.674946496662825,8.853160044752975,-0.4800425861687958,0.0,0.14276956320422,0.2025454342059023,False,25.652087926864624,370,0.3628333333333333,0.3880445795339412,2.905852235390788,0.7598319969453982,-0.007576023861858,0.0427112978604099,0.0002083333333333,0.0040526849037487,0.8675419039093812,,,,
dartsviz_pdc_2017,Phil Taylor,student-t,False,student-t,338,329,5,-1321.7805612283091,-1259.7104645433778,-3.828907187061939,5.9819579318067975,8.431934988721672,-5.020480941135631,0.0,0.1429067197678908,0.2026828597017504,False,18.65217995643616,298,0.360625,0.3880445795339412,2.905391038614918,0.7598319969453982,-0.0031443345649769,0.0427112978604099,0.0006666666666666,0.0040526849037487,,4.026625001015492,,,
dartsviz_pdc_2017,Phil Taylor,core+uniform,False,core+uniform,338,329,5,-1331.2369166821072,-1263.1054502691957,-3.839226292611537,7.560399208540018,8.708440195010294,-4.18390448615688,0.0,0.1428486655882153,0.2026488138740657,False,30.2192063331604,320,0.3129166666666667,0.3880445795339412,1.6438661528980048,0.7598319969453982,-0.0028358194139846,0.0427112978604099,0.0016666666666666,0.0040526849037487,,,0.0026057073664594,,
dartsviz_pdc_2017,Phil Taylor,two-component,False,two-component,338,329,6,-1325.122332251579,-1262.2380059430798,-3.836589683717568,6.34922400630208,8.343195955501422,-5.80047547985335,0.0,0.1429546957511175,0.2027325096313597,False,49.14362907409668,458,0.3523333333333333,0.3880445795339412,2.8302240709149773,0.7598319969453982,-0.0084257640985406,0.0427112978604099,0.0005416666666666,0.0040526849037487,,,0.0543018552376241,3.7925045003988354,
dartsviz_pdc_2017,Phil Taylor,gaussian,True,gaussian + visit scale,338,329,5,-1334.482388302738,-1288.354928921944,-3.9159724283341766,7.621736771118908,7.621736771118908,-4.516733042654806,0.3550365618182618,0.142959158371923,0.202723990725904,True,133.74971628189087,273,0.35,0.3880445795339412,10.08746994174398,0.7598319969453982,0.091990761296994,0.0427112978604099,0.0,0.0040526849037487,,,,,
dartsviz_pdc_2017,Phil Taylor,student-t,True,student-t + visit scale,338,329,6,-1321.7093315014226,-1260.383395396534,-3.830952569594329,6.051512247904427,8.371081310671078,-4.970845838425939,0.1073159487819459,0.1429059951297445,0.2026821288829249,False,234.66179656982425,396,0.3645833333333333,0.3880445795339412,3.6633947875299553,0.7598319969453982,0.0047867230186709,0.0427112978604099,0.0002916666666666,0.0040526849037487,,4.189309473287135,,,
dartsviz_pdc_2017,Dave Chisnall,gaussian,False,gaussian,307,299,4,-1752.1349504991022,-1533.2188987862628,-5.127822403967434,13.587468970611148,13.587468970611148,0.701393404098687,0.0,0.0310084860018917,0.3061816990575701,True,10.084013223648071,200,0.134375,0.4002229654403567,4.54891852313106,31.780538302277435,0.0079627907112098,-0.0287616522620737,0.0,0.0066889632107023,,,,,
dartsviz_pdc_2017,Dave Chisnall,exp-power,False,exp-power,307,299,5,-1340.9936214073632,-1272.3908678997402,-4.255487852507493,0.5517281939326129,12.152090612541944,0.3636175709207934,0.0,0.0306824990995866,0.3061061370948598,False,43.44380712509155,600,0.3748333333333333,0.4002229654403567,11.204299818538791,31.780538302277435,-0.0031364564268492,-0.0287616522620737,0.00275,0.0066889632107023,0.493605096073508,,,,
dartsviz_pdc_2017,Dave Chisnall,student-t,False,student-t,307,299,5,-1328.2496926567658,-1275.6676305421702,-4.266446924890201,5.611392881896713,24.390527001869728,1.23299514882725,0.0,0.0275500811794739,0.3048634853472414,False,23.17890930175781,347,0.3562916666666667,0.4002229654403567,12.34034108864382,31.780538302277435,-0.0025003717629347,-0.0287616522620737,0.0052083333333333,0.0066889632107023,,2.111775530259891,,,
dartsviz_pdc_2017,Dave Chisnall,core+uniform,False,core+uniform,307,299,5,-1708.0723555288348,-1420.196372660041,-4.749820644347963,12.121350570689271,16.24795273960212,0.1149335769559863,0.0,0.027616088829504,0.3064836901199518,False,23.900017976760864,381,0.162875,0.4002229654403567,6.053271901446056,31.780538302277435,0.0089594060062336,-0.0287616522620737,0.0075833333333333,0.0066889632107023,,,0.016539647285452,,
dartsviz_pdc_2017,Dave Chisnall,two-component,False,two-component,307,299,6,-1352.70944255508,-1313.6945871457183,-4.393627381758255,7.114559281743438,13.56121727515218,1.463919283676845,0.0,0.030640285881066,0.3061314906660851,False,35.440868616104126,411,0.3128333333333333,0.4002229654403567,10.665892912534202,31.780538302277435,-0.0034303330195263,-0.0287616522620737,0.0073333333333333,0.0066889632107023,,,0.0772167519284359,5.924754232717164,
dartsviz_pdc_2017,Dave Chisnall,gaussian,True,gaussian + visit scale,307,299,5,-1361.8946493510075,-1323.352461332736,-4.425927964323531,9.37089516040094,9.37089516040094,1.169499803946388,0.59508442510039,0.030866928648914,0.3062069060260249,True,152.50784945487976,399,0.3458333333333333,0.4002229654403567,29.708251390592643,31.780538302277435,0.2114638689260278,-0.0287616522620737,0.001,0.0066889632107023,,,,,
dartsviz_pdc_2017,Dave Chisnall,student-t,True,student-t + visit scale,307,299,6,-1321.5513402479896,-1272.3524188510437,-4.255359260371384,6.278287252713786,13.698772885338204,1.1349415675068533,0.4032594199733791,0.0282074277955499,0.3050739215775062,False,169.95116639137268,357,0.379875,0.4002229654403567,20.865963952410333,31.780538302277435,0.0608878783259881,-0.0287616522620737,0.0041666666666666,0.0066889632107023,,2.5318001489273367,,,
